flyid,name,bitterGRN_200Hz
720575940602353632,bitter_L_1,193.93333333333334
720575940604027168,bitter_L_2,194.83333333333334
720575940604934502,,0.26666666666666666
720575940605158572,,35.6
720575940608601355,,8.7
720575940609030776,,1.1333333333333333
720575940610259370,bitter_L_3,195.5
720575940610481370,bitter_L_4,195.76666666666668
720575940610483162,bitter_L_5,194.6
720575940610491694,,14.6
720575940610609454,,11.933333333333334
720575940610690372,,67.03333333333333
720575940610708430,,4.033333333333333
720575940610956334,,23.366666666666667
720575940611149922,,40.56666666666667
720575940613061118,bitter_L_6,192.26666666666668
720575940614099142,,0.06666666666666667
720575940614139089,,48.8
720575940614281266,bitter_L_7,195.4
720575940614418794,,17.733333333333334
720575940614635175,,150.63333333333333
720575940614736290,,28.5
720575940614965691,,20.833333333333332
720575940615292895,,24.4
720575940615495839,,13.133333333333333
720575940616217403,,1.1333333333333333
720575940617094208,bitter_L_8,197.36666666666667
720575940618600651,bitter_L_9,195.23333333333332
720575940619028208,bitter_L_10,193.0
720575940619197093,bitter_L_11,194.73333333333332
720575940619247424,,5.6
720575940619453831,,17.733333333333334
720575940619559838,,13.566666666666666
720575940620062288,,84.86666666666666
720575940620262465,,16.933333333333334
720575940620441024,,2.5
720575940620553094,,149.96666666666667
720575940621008895,bitter_L_12,192.56666666666666
720575940621089741,,49.63333333333333
720575940621442124,,21.966666666666665
720575940621490721,,1.8333333333333333
720575940621736669,,21.966666666666665
720575940621778381,bitter_L_13,201.1
720575940621902085,,27.7
720575940622154266,,22.166666666666668
720575940622298631,bitter_L_14,195.76666666666668
720575940622537477,,45.1
720575940622541005,,25.0
720575940623154712,,48.266666666666666
720575940623208141,,43.06666666666667
720575940623381286,,78.56666666666666
720575940623986364,,10.866666666666667
720575940624253991,,44.666666666666664
720575940624273149,,39.93333333333333
720575940624600840,,126.23333333333333
720575940625339981,,11.533333333333333
720575940625728551,,71.33333333333333
720575940626287336,bitter_L_15,197.76666666666668
720575940626375164,,10.966666666666667
720575940626390018,,35.2
720575940626741891,,21.466666666666665
720575940627578156,bitter_L_16,200.5
720575940627709956,,52.43333333333333
720575940627827697,,7.733333333333333
720575940628024107,,28.533333333333335
720575940628386295,,26.9
720575940628683063,,84.4
720575940629146711,bitter_L_17,198.66666666666666
720575940629894716,,0.03333333333333333
720575940630195909,bitter_L_18,193.86666666666667
720575940630575943,,0.1
720575940630670890,,3.966666666666667
720575940630686060,,12.3
720575940630999493,,36.93333333333333
720575940631092943,,0.7
720575940632556831,,34.266666666666666
720575940632636959,,26.366666666666667
720575940632873261,,13.533333333333333
720575940634788247,,50.8
720575940634844408,,18.4
720575940635210859,,31.966666666666665
720575940635527092,,0.2
720575940635925615,,40.666666666666664
720575940637742150,,59.46666666666667
720575940637788137,,33.36666666666667
720575940638557312,,84.8
720575940638604915,,13.433333333333334
720575940641148149,,0.06666666666666667
720575940641536987,,32.8
720575940645743412,bitter_L_19,196.16666666666666
720575940646212996,bitter_L_20,197.5
720575940647473796,,32.6
